id,local_no_artigo,afirmacao,numero_antigo,numero_novo,direcao_preservada,status_estatistico_mudou,estado_final,sensivel_ao_desempate,risco,nota
A-01,resumo; secao migracao (L256),Ganho máximo de emissões com migração sob carga alta e sinal variável: follow_renewables ante lowest_carbon_dc.,"-4,76% e -9,84% (Azure); -1,27% e -1,71% (Google); p_holm <= 0,012; r = -1,00 em tres delas; BCa 95% [-3,167; -2,607] gCO2e em az-realjun-alta","Nas quatro células de carga alta com sinal variável, todas de fase 1 e portanto com n = 30: -5,6777% (az-realjun-alta), -11,5796% (az-anticorr-alta), -1,9316% (go-realjun-alta) e -2,3983% (go-anticorr-alta); r = -1,00 nas quatro; p sob Holm m = 3 igual a 5,588e-09 nas quatro; BCa 95% [-3.586,0; -3.283,1] gCO2e em az-realjun-alta. No recorte pareado das sementes 42-51: -5,7646%, -11,4114%, -1,9745% e -2,5164% [origem: ../reanalise-canonica/out/familia_primaria_holm3.csv] [origem: ../reanalise-canonica/out/nivel3_extracoes.txt#A-01]",sim,nao,preservada_com_magnitude_revisada,sim,alto,"É o número de manchete. Os dois contrastes do Google (1,27% e 1,71%) são menores que o deslocamento máximo medido na sonda; o de 9,84% não é. follow_renewables divergiu na sonda em 18 de 68 pares, todos em carga alta — exatamente o regime desta afirmação. A conclusão sobrevive inteira: as quatro direções se preservam, as quatro permanecem significativas e r = -1,00 continua nas quatro (agora em todas, não em três). O que muda é a magnitude, e ela AUMENTA em todos os quatro contrastes: 4,76 → 5,68, 9,84 → 11,58, 1,27 → 1,93 e 1,71 → 2,40. O resumo cita ""até 9,84%"" e passa a citar 11,58%; nenhum número do artigo pode ser mantido. Marcada como sensível ao desempate porque o deslocamento é da ordem de 20% a 50% do próprio efeito nos dois contrastes do Google, cujos valores antigos (1,27% e 1,71%) estão abaixo do deslocamento máximo medido na sonda A/B. O recorte pareado 42-51 confirma que o deslocamento não é efeito do tamanho de amostra: com as mesmas 10 sementes dos dois lados os valores são -5,7646%, -11,4114%, -1,9745% e -2,5164%, praticamente iguais aos de n = 30. O p sob Holm de 5,588e-09 é o piso do teste exato de Wilcoxon com 30 pares multiplicado por m = 3, não evidência mais forte que os 0,012 antigos: com 10 pares o piso era 0,001953. Os dois valores dizem ""o menor p que este desenho permite"" e o texto não pode apresentar o segundo como resultado mais forte. Divergência de unidade preservada, não corrigida em silêncio: o BCa antigo está registrado como ""[-3,167; -2,607] gCO2e"", numericamente incompatível com um efeito de -4,76% sobre uma média da ordem de 6,05e+04 gCO2e — o intervalo antigo está na escala de kgCO2e. O intervalo canônico [-3.586,0; -3.283,1] está em gCO2e, coerente com a métrica bruta. Trata-se de erro de unidade no artigo antigo, independente do desempate, e precisa ser corrigido explicitamente no texto."
A-02,resumo; secao rede (L260),"Sob WAN de 100 Mb/s, os tres algoritmos com migracao tornam-se equivalentes a lowest_carbon_dc dentro de +-1% em az-realjun-alta.","-0,08% a -0,10%; TOST p = 0,00098","Os três contrastes continuam equivalentes dentro de ±1%, com diferenças de -0,0266% (cnemesis), -0,0966% (follow_renewables) e -0,1439% (followme_s); TOST p = 9,766e-04 nos três, contra 0,00098 antes [origem: ../reanalise-canonica/out/tost_equivalencia_1pct.csv] [origem: ../reanalise-canonica/out/nivel3_extracoes.txt#A-02]",sim,nao,preservada_com_magnitude_revisada,sim,alto,"Equivalência dentro de ±1% com deslocamento medido de até 2,46%. É a afirmação mais exposta do artigo: o desempate sozinho pode empurrar um contraste para fora da janela de equivalência. Não empurrou. A conclusão sobrevive nos três contrastes e a margem para a borda da janela é larga: o maior efeito é 0,1439%, um sétimo do limite de 1%. A atribuição ao desempate é limpa, e este é o caso mais bem controlado da matriz: `net100-az-realjun-alta` tem n = 10 nas duas campanhas, de modo que o TOST p é o mesmo piso do teste exato com 10 pares (9,766e-04, que o artigo arredondou para 0,00098) e a única diferença entre os dois lados é a política de desempate. Marcada como sensível porque a faixa citada muda de forma: era ""-0,08% a -0,10%"", uma faixa estreita de três valores próximos, e passa a ser ""-0,03% a -0,14%"", quase cinco vezes mais larga em termos relativos. O cnemesis cai a um terço do valor antigo e o followme_s sobe a quase o dobro. A frase do artigo que apresenta os três como praticamente indistinguíveis entre si precisa ser reescrita; a equivalência a lowest_carbon_dc, que é o que a afirmação de fato sustenta, permanece. Ressalva independente do desempate: R-NET100-ISOLADO — a configuração de rede restrita não isola a largura de banda da WAN de outros efeitos de topologia."
A-03,secao resultados negativos (L303),cnemesis supera lowest_carbon_dc em 16 das 22 configuracoes.,"16/22 significativas; ausente em carga alta no Google, sob rede restrita em carga alta e em geo3-go; go-anticorr-alta inverte para +0,20% (nao significativo, BCa cruzando zero)","Sobre as MESMAS 22 configurações: 18/22 significativas e favoráveis a cnemesis, 1/22 significativa CONTRA cnemesis e 3/22 não significativas. A configuração contrária é geo3-go-realjun-folgada, com +3,1175%, BCa 95% [184,7; 413,5] gCO2e inteiramente acima de zero e p sob Holm m = 3 de 0,00586. As três não significativas são go-anticorr-alta (-0,2520%, p = 0,1347), go-flat-alta (-0,0788%, p sob Holm 0,2382) e net100-az-realjun-alta (-0,0266%, p = 0,5566) [origem: ../reanalise-canonica/out/familia_primaria_holm3.csv] [origem: ../reanalise-canonica/out/nivel3_extracoes.txt#A-03]",parcial,sim,reformulada,sim,alto,"cnemesis teve o comparador alterado e divergiu em 70 de 70 pares da sonda, com efeito de -1,69% a +1,50%. A contagem 16/22 é uma soma de decisões binárias em torno de um limiar; qualquer configuração próxima do limiar pode trocar de lado. O caso +0,20% já está dentro do ruído do desempate. A contagem sobe de 16 para 18, mas não é isso que obriga a reformular. São duas mudanças qualitativas. Primeira, a estrutura de exceções se mantém em duas das três posições e quebra na terceira. ""Ausente em carga alta no Google"" e ""ausente sob rede restrita em carga alta"" continuam valendo (go-anticorr-alta, go-flat-alta e net100-az-realjun-alta). ""Ausente em geo3-go"" deixa de valer: naquela configuração cnemesis agora é significativamente PIOR que lowest_carbon_dc, com efeito de +3,12% e intervalo BCa que não cruza zero. Não significativo e significativamente contrário são estados diferentes, e o texto não pode descrever o segundo com a palavra do primeiro. Segunda, o caso de inversão citado no artigo desaparece e outro aparece em lugar diferente. go-anticorr-alta era ""+0,20%, não significativo, BCa cruzando zero"" e passa a -0,2520%, ainda não significativo mas com o sinal esperado; a frase sobre a inversão de sinal ali não tem mais suporte. Em compensação surge uma inversão real, significativa e de magnitude uma ordem de grandeza maior, em geo3-go-realjun-folgada. Trocar um caso pelo outro exige reescrever a frase inteira, não apenas o número. A atribuição ao desempate é limpa nas duas configurações que mudam de lado: geo3-go-realjun-folgada e go-anticorr-alta têm n = 10 e n = 30 respectivamente, mas a segunda mudou apenas de magnitude, e a primeira tem n = 10 nas duas campanhas. Ressalva independente do desempate, já registrada: a configuração geo3 não isola a topologia — leque de destinos e pressão de carga mudam juntos —, de modo que a inversão observada ali não deve ser lida como efeito puro do número de data centers."
A-04,secao em2021 (L326),Com dados reais (Electricity Maps 2021) a direcao se preserva em 9 dos 12 contrastes; 11 dos 12 significativos contra 9 dos 12 sob perfil sintetico.,"9/12 direcao; 11/12 vs 9/12 significancia; go-alta follow_renewables de -1,27% para -0,62% (p_holm 0,0117 e 0,0195); inversao do primeiro colocado em carga moderada; tau 0,77 a 0,96","10/12 de direção preservada e 0/12 de inversão de sinal — os dois contrastes restantes são empate empírico exato de follow_renewables com lowest_carbon_dc nas duas células de carga folgada; 11/12 contra 10/12 de significância sob Holm m = 3, com contagem idêntica na versão pareada por poder (n = 10 dos dois lados) e na assimétrica (n = 30 no lado sintético); τ_b de 0,8074 a 1,0000; troca do primeiro colocado em 1 das 4 células (go-em2021-folgada, follow_renewables → followme_s) [origem: ../reanalise-canonica/out/a04_contrastes_pareados.csv] [origem: ../reanalise-canonica/out/a04_tau_ranking.csv] [origem: ../reanalise-canonica/out/a04_digest.txt]",parcial,sim,reformulada,sim,alto,"As duas contagens sobem (9 → 10 e 9 → 10), mas o que obriga a reformular não é o número: é a explicação. O artigo declara que 2 dos 3 contrastes que mudam de direção são ""inversoes triviais entre valores proximos de zero"". Sob o binário canônico não há nenhuma inversão de sinal; os dois contrastes que não preservam direção têm diferença média EXATAMENTE nula no lado sintético, o que é outro fenômeno — empate empírico, não inversão trivial. A frase do artigo não pode ser mantida. A atribuição ao desempate é limpa: a versão de destaque compara os dois lados com as mesmas sementes 42-51 e n = 10, de modo que a política de desempate é a única diferença em relação ao cálculo antigo. O confundimento de poder que motivou a versão pareada (n = 10 no real contra n = 30 no sintético) foi medido e deu zero contrastes alterados; registra-se o zero, e o pareamento continua obrigatório em qualquer outra comparação entre células de n diferente. O empate empírico não reduz a família: ocupa a vaga com p = 1 (RE-2), e nenhuma das oito células satisfaz o critério estrutural a priori [origem: ../alocacao-identica/out/criterio-a-priori.txt]."
A-05,secao seeds (L336),O ranking por gCO2e permanece estavel ao passar de 10 para 30 seeds.,"tau = 1,0; 0 inversoes em 110 pares; CV entre 8,15% e 10,30% nas 4 combinacoes criticas; delta de CV entre -0,36 e -1,57 p.p.","τ_b mediana 0,9636 e mínima 0,6154, com τ_b = 1,000 em apenas 2 das 12 células distintas; 23 inversões em 660 pares; 0 das 12 células trocam o primeiro colocado. O CV de total_gco2 SOBE ao acrescentar sementes: mediana de 0,77% para 0,89%, máximo de 8,65% para 11,33% e de 6 para 12 combinações acima de 5%, em 132 [origem: ../reanalise-canonica/out/a05_tau_10_vs_30.csv] [origem: ../reanalise-canonica/out/a05_cv_por_combinacao.csv] [origem: ../reanalise-canonica/out/a05_digest.txt]",parcial,nao,reformulada,indeterminado,alto,"Duas razões independentes impedem declarar esta afirmação preservada. Primeira, a forma forte não se sustenta: τ_b = 1,0 com zero inversões vira τ_b mediana 0,9636 com 23 inversões em 660 pares. O que sobrevive é a forma fraca — o primeiro colocado não muda em nenhuma das 12 células —, e é só essa que o texto pode afirmar. Segunda, a população mudou. O cálculo antigo usou net100-go-realjun-folgada e pue-go-realjun-folgada, escolhidas por alto CV, e nenhuma das duas tem 30 sementes na campanha canônica: o núcleo de 30 sementes é a fase 1 [origem: ../reanalise-canonica/out/a05_celulas_sem_30.csv]. Por isso `sensivel_ao_desempate` fica indeterminado: com células diferentes, a diferença em relação ao número antigo não é atribuível ao desempate. A direção da variação do CV também se inverte: era negativa (-0,36 a -1,57 p.p., isto é, mais sementes reduzindo dispersão) e agora é positiva na mediana (+0,07 p.p.). Acrescentar sementes revelou dispersão, não a reduziu, e o texto que sugerir estabilização precisa ser reescrito. `status_estatistico_mudou` é ""nao"" por vacuidade: a afirmação não carrega decisão de significância, nem antes nem agora. Ressalva herdada: a extensão de sementes é continuação determinística do mesmo gerador (R-SEEDS-ESCOPO), e as duas metades foram comparadas apenas quanto à permutabilidade do CV, o que não é prova de independência."
A-06,secao geo3 (L283),"Com 3 data centers a vantagem ciente de carbono cai a 0,77% no Google e deixa de ser significativa.","60,99% -> 8,33% (Azure, p = 0,0020); 66,97% -> 0,77% (Google, p = 0,63, nao significativa)","Azure: 58,7423% na referência com n = 30 (58,3716% no recorte pareado 42-51) contra 2,8952% em geo3-az-realjun-folgada, p = 0,01953, r = -0,818, SIGNIFICATIVA. Google: 65,9902% na referência com n = 30 (65,8856% no recorte pareado) contra 6,3950% em geo3-go-realjun-folgada, p = 0,001953 — o piso do teste exato com 10 pares —, r = -1,00, SIGNIFICATIVA. O melhor ciente de carbono é followme_s nos quatro recortes; o melhor geograficamente cego é first_fit no Azure e ffd no Google [origem: ../reanalise-canonica/out/melhor_ca_vs_melhor_gb.csv] [origem: ../reanalise-canonica/out/a06_geo3_recorte.csv] [origem: ../reanalise-canonica/out/nivel3_extracoes.txt#A-06]",parcial,sim,refutada_pelo_binario_canonico,sim,alto,"O valor de 0,77% é menor que o deslocamento medido. O de 8,33% e os valores de partida (60,99% e 66,97%) são de risco baixo pela magnitude. Ressalva independente do desempate, já registrada no artigo: a configuração não isola a topologia (leque de destinos e pressão de carga mudam juntos). Os dois componentes da frase do artigo são falsos sob o binário canônico. O residual do Google não é 0,77%: é 6,3950%, oito vezes maior. E ele não ""deixa de ser significativo"": é significativo com o menor p que o desenho de 10 sementes permite e com r = -1,00, isto é, followme_s vence o melhor geograficamente cego em todas as 10 sementes. A afirmação está refutada na forma em que foi publicada. O que sobrevive é a direção geral, e só ela: a vantagem ciente de carbono de fato despenca ao passar de 5 para 3 data centers, de 58,74% para 2,90% no Azure e de 65,99% para 6,40% no Google. É essa queda — não o desaparecimento do efeito — que o texto pode afirmar. Note-se que o residual do Azure, que o artigo dava como o caso significativo e maior (8,33%), passa a ser o MENOR dos dois (2,90%): a ordem entre os dois provedores se inverteu. A atribuição ao desempate é limpa: as duas células geo3 têm n = 10 nas duas campanhas, e o recorte pareado 42-51 mostra que as referências praticamente não se movem com o tamanho de amostra (58,74 contra 58,37; 65,99 contra 65,89). A diferença está nas células geo3, exatamente onde o leque de destinos é menor e desempates entre data centers pesam mais. Ressalva herdada: a comparação ""melhor ciente de carbono contra melhor geograficamente cego"" usa a regra de vencedor por postos médios com empates por midrank (RE-2), e a vantagem só é computada quando os dois topos são únicos."
A-07,secao ranking (L236),Estabilidade apenas moderada do ranking entre configuracoes.,"tau de Kendall entre pares das 22 configuracoes: mediana 0,771, minimo 0,299; 13 pares-testemunha de inversao, 8 so entre estaticos; robusto a PUE (tau = 1,000) e a rede em realjun folgada (tau = 1,000; anticorr-folgada 0,926; carga alta 0,964); sensivel a topologia (geo3 0,697) e a capacidade (hetcap 0,881/0,963)","Sobre os mesmos 231 pares das 22 configurações, com τ_b e midrank: mediana 0,7171 e mínimo 0,1122; no recorte pareado das sementes 42-51, mediana 0,7037 e mínimo 0,0748. Pares-testemunha de inversão: 28 (17 só entre estáticos) por total_gco2 e 29 (16) por gco2_por_vm. Célula com intervenção contra a sua base, pareado em 42-51: PUE 1,0000 e 1,0000; rede restrita 0,9630 (az-realjun-folgada), 1,0000 (go-realjun-folgada), 0,8519 (az-anticorr-folgada) e 0,9636 (az-realjun-alta); topologia 0,6973 (geo3-az) e 0,7707 (geo3-go); capacidade heterogênea 0,8441 (hetcap-az-realjun) e 0,9259 (hetcap-az-anticorr) [origem: ../reanalise-canonica/out/a07_estabilidade_ranking.csv] [origem: ../reanalise-canonica/out/a07_tau_recorte_pareado.csv] [origem: ../reanalise-canonica/out/nivel3_extracoes.txt#A-07]",parcial,nao,reformulada,sim,alto,"Rankings de 11 algoritmos com diferenças pequenas entre vizinhos: a posição relativa de dois algoritmos separados por menos de 2,46% pode trocar. Vale inclusive para algoritmos não alterados, cuja posição muda porque os outros mudaram. A tese central — estabilidade apenas moderada — não só se preserva como se REFORÇA, e é por isso que o estado é reformulada e não preservada: os números que o artigo usa para quantificar a moderação ficam todos desatualizados na direção de menos estabilidade. A mediana cai de 0,771 para 0,7171, o mínimo cai de 0,299 para 0,1122 e os pares-testemunha de inversão mais que dobram, de 13 para 28. O mínimo antigo é reproduzido exatamente — az-flat-folgada × az-realjun-alta continua dando 0,299 —, mas agora há quatro pares abaixo dele. Duas afirmações qualitativas do artigo mudam de lado. ""Robusto a PUE (τ = 1,000)"" continua exato nos dois provedores. ""Robusto a rede em realjun folgada (τ = 1,000)"" deixa de valer no Azure, onde cai a 0,9630; permanece exato no Google. As duas sensibilidades declaradas — topologia e capacidade — continuam valendo e ficam mais fortes (hetcap de 0,881/0,963 para 0,8441/0,9259). A leitura de ""13 → 28 pares-testemunha"" exige cuidado: o crescimento é proporcionalmente maior entre estáticos (8 → 17) do que envolvendo migradores, o que é coerente com o mecanismo do desempate. São os algoritmos geograficamente cegos, separados por margens estreitas, os mais expostos a troca de posição. Decisão de método registrada: os τ_b do artefato canônico usam o n de cada célula, 30 na fase 1 e 10 nas intervenções, de modo que todo par que atravessa esses dois grupos mistura desempate com tamanho de amostra. Por isso o número de comparação com a campanha antiga é o do recorte pareado 42-51, calculado em A-07b. O confundimento não é hipotético: pue-az sai de 0,9630 para 1,0000 quando pareado, reproduzindo o controle estrutural exato que A-10 já havia estabelecido, e geo3-az sai de 0,6606 para 0,6973, que é o valor antigo de 0,697 em três casas."
A-08,secao sinal (L228); resultados negativos (L303),Ranking de FFD e BFD e demais posicoes entre estaticos.,"em go-flat-folgada ffd supera lowest_carbon_dc (17.492 contra 18.755 gCO2e; p = 0,0020); bfd descartou 8,2% no Google; por VM atendida bfd cai do 8o ao 10o em go-realjun-alta e do 6o ao 10o em go-anticorr-alta","Em go-flat-folgada, ffd = 17.507,9 contra lowest_carbon_dc = 18.989,9 gCO2e, diferença de -7,8040%, p bruto 1,863e-09 e p sob Holm m = 55 de 1,024e-07, significativo. bfd descartou no máximo 8,12% das VMs nas 9 células Google das 22 (mediana 0,00%), tanto em go-realjun-alta quanto em go-anticorr-alta. Por VM atendida, bfd cai do posto médio 8,0 ao 10,0 em go-realjun-alta e do 6,0 ao 10,0 em go-anticorr-alta. Em 36 das 242 combinações célula × algoritmo o posto muda ao normalizar por VM atendida [origem: ../reanalise-canonica/out/atendimento_e_postos.csv] [origem: ../reanalise-canonica/out/familia_exploratoria_55.csv] [origem: ../reanalise-canonica/out/nivel3_extracoes.txt#A-08]",sim,nao,preservada_com_magnitude_revisada,sim,alto,"ffd e bfd tiveram o comparador alterado e divergiram em 20 de 20 pares cada um na sonda. Nenhum número que os envolva sobrevive da campanha antiga. A previsão se confirmou em parte e falhou em parte, e a parte que falhou é a interessante. Os três componentes qualitativos da afirmação sobrevivem: ffd continua superando lowest_carbon_dc em go-flat-folgada com significância, bfd continua descartando cerca de 8% no Google, e as duas quedas de posto por VM atendida são reproduzidas EXATAMENTE — 8º ao 10º e 6º ao 10º, os mesmos quatro números. As magnitudes se movem pouco no contraste principal (17.492 → 17.507,9 em ffd, 18.755 → 18.989,9 em lowest_carbon_dc) e quase nada no descarte (8,2% → 8,12%). A diferença relativa entre os dois algoritmos passa a -7,80%. Marcada como sensível ao desempate porque a afirmação é sobre POSIÇÃO entre estáticos, e é justamente entre estáticos que os pares-testemunha de inversão mais crescem sob o binário canônico (8 → 17, conforme A-07). Que estes quatro postos específicos tenham sobrevivido intactos é resultado medido, não garantia estrutural; a robustez vale para estes casos e não se estende ao ranking dos estáticos em geral. O p de 1,863e-09 é o piso do teste exato com 30 pares e não é evidência mais forte que os 0,0020 antigos, que eram o piso com 10 pares. A família de 55 pares é a exploratória C(11,2) fixada por RE-2 e não é reduzida por degenerescência."
A-09,resumo; secao sinal (L228),Vantagem dos cientes de carbono sob sinal espacialmente variavel e carga moderada.,"23,7% a 67,0% ante o melhor geograficamente cego, nas 4 configuracoes (p = 0,0020; r = -1,00)","Faixa de 28,3% a 66,0% nas mesmas 4 configurações, com n = 30: az-realjun-folgada +58,7423%, az-anticorr-folgada +37,7972%, go-realjun-folgada +65,9902% e go-anticorr-folgada +28,2982%; p bruto 1,863e-09 e r = -1,00 nas quatro. No recorte pareado das sementes 42-51: +58,3716%, +36,9955%, +65,8856% e +29,0054%, com p = 1,953e-03 nas quatro. O vencedor ciente de carbono é followme_s nas quatro; o melhor geograficamente cego é first_fit no Azure e ffd no Google [origem: ../reanalise-canonica/out/melhor_ca_vs_melhor_gb.csv] [origem: ../reanalise-canonica/out/nivel3_extracoes.txt#A-09]",sim,nao,preservada_com_magnitude_revisada,sim,baixo,"Efeito de uma ordem de grandeza acima do deslocamento medido. Provável preservação, mas o número precisa ser recomputado como qualquer outro. A preservação se confirmou: quatro direções, quatro significâncias e r = -1,00 nas quatro, isto é, o melhor ciente de carbono vence o melhor geograficamente cego em todas as sementes de todas as quatro configurações. A faixa citada no resumo muda nos dois extremos e precisa ser reescrita: ""23,7% a 67,0%"" passa a ""28,3% a 66,0%"". O piso sobe 4,6 pontos percentuais e o teto cai 1,0; a faixa fica mais estreita e mais alta. Marcada como sensível ao desempate apesar do risco baixo porque os dois extremos se moveram, e o recorte pareado mostra que o movimento não vem do tamanho de amostra: com as mesmas 10 sementes dos dois lados os valores são 58,37%, 37,00%, 65,89% e 29,01%, todos a menos de um ponto percentual dos de n = 30. A mudança da faixa é efeito do desempate, não de poder estatístico. Ressalva herdada de RE-2: ""melhor ciente de carbono"" e ""melhor geograficamente cego"" são decididos por postos médios com empates por midrank, e a vantagem só é computada quando os dois topos são únicos, o que ocorre nas quatro células."
A-10,resumo; secao pue (L295),"Sob PUE invertido, minimizar energia selecionaria algoritmos que emitem 2,5 a 3,4 vezes mais carbono.","tau gCO2e x kWh cai de 0,778 para -0,037 (Azure) e de 0,963 para 0,259 (Google); best_fit 3,386x e ffd 2,459x; alocacao invariante em 110/110 pares; ranking de gCO2e identico a referencia (tau = 1,000)","No recorte pareado de 10 sementes, τ_b entre emissão e energia cai de **0,8889 para 0,0741** (Azure, p = 0,754 na célula com PUE invertido) e de **0,9630 para 0,2593** (Google, p = 0,273). O critério de energia seleciona os mesmos algoritmos do cálculo antigo — `best_fit` no Azure e `ffd` no Google — contra `followme_s` pelo critério de carbono, e a razão de erro do proxy é **3,246×** (18.951 contra 5.838 gCO2e) e **2,394×** (10.742 contra 4.488 gCO2e), ambas com p = 0,001953, o piso do teste exato com 10 pares. Nas duas células de referência os dois critérios escolhem o MESMO algoritmo, e a razão é exatamente 1,000: o proxy não custa nada onde o PUE não está invertido. O controle de reponderação pura passa: o ranking de emissão da célula com PUE invertido é idêntico ao da referência, τ_b = 1,0000 nos dois pares [origem: ../reanalise-canonica/out/a10_razao_erro_proxy.csv] [origem: ../reanalise-canonica/out/a10_tau_recorte_pareado.csv] [origem: ../reanalise-canonica/out/a10_invariancia_ranking_pue.csv] [origem: ../reanalise-canonica/out/a10_proxy_kwh_gco2.csv] [origem: ../reanalise-canonica/out/a10_proxy_digest.txt]",sim,nao,preservada_com_magnitude_revisada,nao,baixo,"A afirmação sobrevive inteira e é a mais robusta das que envolvem intervenção estrutural. A triagem a priori acertou o motivo: nenhum algoritmo observa o PUE, de modo que a alocação não muda e a intervenção é reponderação pura — o que o controle (c) confirma com τ_b = 1,0000 nos dois pares. Também não mudou nada qualitativo: os mesmos dois algoritmos são selecionados pelo critério de energia, e o mesmo `followme_s` pelo de carbono. O que muda é o número do resumo. A faixa citada, ""2,5 a 3,4 vezes"", passa a ser **2,4 a 3,2 vezes**: 3,386 → 3,246 (−4,1%) e 2,459 → 2,394 (−2,6%). Os dois extremos do intervalo mudam, e por isso o resumo tem de ser reescrito mesmo sem nenhuma conclusão se alterar. `sensivel_ao_desempate` é `nao` com base medida, não por presunção: o deslocamento das razões é da ordem de 4% de si mesmas, contra um efeito afirmado de 2,4 a 3,2 vezes — mais de uma ordem de grandeza menor —, a seleção de algoritmos é idêntica, e a parte estrutural (invariância do ranking) é exata. O τ_b da célula com PUE invertido no Google reproduz o antigo em três casas (0,259); no Azure ele sai de −0,037 para +0,074, mas os dois valores são estatisticamente indistinguíveis de zero (p = 0,754) e a afirmação é de colapso da correlação, não de sinal. Registra-se a decisão de recomputar os quatro τ_b sobre as MESMAS sementes 42-51. O τ_b já publicado em `a10_proxy_kwh_gco2.csv` usa o n de cada célula, 30 nas de referência e 10 nas `pue-*`, e por isso dá 0,8519 no Azure em vez de 0,8889; comparar aquele valor com o número antigo misturaria efeito de desempate com efeito de tamanho de amostra. Os dois valores são corretos e respondem a perguntas diferentes; o artigo deve citar o de 30 sementes ao descrever a célula de referência e o de 10 ao comparar com a campanha superseded. A parte ""alocação invariante em 110/110 pares"" não é recomputada aqui: ela sai por extração direta dos artefatos de alocação idêntica [origem: ../alocacao-identica/out/]."
